make,model,year,mileage,fuelType,engineCapacity,price
Mercedes-Benz,C,2018,6 200 km,Diesel,1 950 cm3,36 254
Mercedes-Benz,E,2011,267 319 km,Diesel,2 143 cm3,10 300
Skoda,Octavia,2017,126 769 km,Diesel,1 968 cm3,14 798
BMW,X4,2020,8 200 km,Diesel,1 995 cm3,56 525
BMW,Seria 3,2004,190 000 km,Benzina,1 995 cm3,2 000
Mercedes-Benz,GL,2008,245 500 km,Diesel,3 997 cm3,13 300
Skoda,Superb,2016,167 200 km,Diesel,1 598 cm3,12 250
Lexus,Seria,2008,177 500 km,Benzina,4 969 cm3,16 632
Mercedes-Benz,E,2017,27 000 km,Benzina,2 996 cm3,54 329
Volkswagen,Tiguan,2017,172 000 km,Diesel,1 968 cm3,16 390
Land,Rover,2017,10 700 km,Diesel,2 993 cm3,67 949
Mercedes-Benz,G,2018,4 500 km,Benzina,3 982 cm3,198 011
Land,Rover,2009,207 000 km,Diesel,2 720 cm3,10 260
Renault,Clio,2009,111 378 km,Diesel,1 461 cm3,2 980
BMW,X2,2018,44 500 km,Diesel,1 995 cm3,8 500
Mercedes-Benz,CLA,2017,65 200 km,Diesel,2 143 cm3,24 853
Mercedes-Benz,ML,2010,193 000 km,Diesel,2 987 cm3,15 586
Mercedes-Benz,E,2016,115 000 km,Diesel,1 950 cm3,41 635
Mercedes-Benz,CLS,2011,266 000 km,Diesel,2 987 cm3,21 884
Mercedes-Benz,A,2019,21 000 km,Benzina,1 334 cm3,28 500
Ford,Mondeo,2016,156 500 km,Diesel,1 498 cm3,9 900
Dacia,Dokker,2016,111 521 km,Diesel,1 461 cm3,6 790
Ford,C-MAX,2011,198 250 km,Diesel,1 595 cm3,5 900
BMW,X5,2019,4 500 km,Benzina,2 998 cm3,80 100
Volkswagen,Passat,2016,146 300 km,Diesel,1 598 cm3,11 999
BMW,Seria 5,2014,150 000 km,Diesel,1 995 cm3,22 700
Volkswagen,Polo,2008,183 000 km,Benzina,1 198 cm3,2 899
Mercedes-Benz,GLC,2017,77 000 km,Diesel,2 143 cm3,33 677
Mazda,3,2011,149 000 km,Diesel,1 560 cm3,5 199
Mercedes-Benz,S,2017,46 500 km,Diesel,2 925 cm3,66 900
Honda,CR-V,2016,109 451 km,Diesel,1 597 cm3,19 980
BMW,Seria 5,2015,119 400 km,Diesel,1 995 cm3,22 729
Volkswagen,Tiguan,2009,210 000 km,Diesel,1 968 cm3,7 899
Ford,Focus,2019,15 000 km,Diesel,1 500 cm3,13 490
Volkswagen,Passat,2006,186 000 km,Diesel,1 968 cm3,4 999
Ford,Focus,2012,180 000 km,Diesel,1 560 cm3,4 999
BMW,Seria 5,2013,193 000 km,Diesel,2 993 cm3,16 990
Volkswagen,Polo,2006,95 500 km,Benzina,1 398 cm3,3 250
Volkswagen,Golf,2017,189 000 km,Diesel,1 596 cm3,9 499
Toyota,Aygo,2007,204 057 km,Benzina,998 cm3,2 999
BMW,X1,2017,169 000 km,Diesel,1 995 cm3,16 380
Audi,A4,2008,188 000 km,Benzina,1 800 cm3,6 699
Hyundai,ix35,2012,100 000 km,Diesel,1 995 cm3,8 999
Dacia,Sandero,2013,138 000 km,Diesel,1 500 cm3,4 499
Mercedes-Benz,A,2019,31 827 km,Benzina,1 332 cm3,27 251
Land,Rover,2020,1 km,Benzina,2 996 cm3,110 399
Audi,A4,2007,243 923 km,Diesel,1 984 cm3,5 199
Mercedes-Benz,B,2006,284 000 km,Diesel,1 991 cm3,3 699
Audi,A3,2009,252 811 km,Benzina,1 598 cm3,4 999
BMW,Seria 3,2008,220 000 km,Diesel,2 000 cm3,4 499
BMW,Seria 3,2010,192 306 km,Benzina,1 995 cm3,8 490
Skoda,Octavia,2014,120 591 km,Diesel,1 968 cm3,11 489
BMW,Seria 3,2017,126 000 km,Hibrid,1 998 cm3,23 900
Volkswagen,Passat,2006,267 341 km,Diesel,1 996 cm3,4 599
Volkswagen,Golf,2009,169 000 km,Benzina,1 400 cm3,5 399
Skoda,Fabia,2009,172 653 km,Benzina,1 200 cm3,3 299
Volkswagen,Passat,2017,48 950 km,Diesel,1 968 cm3,15 899
Audi,A4,2006,220 000 km,Diesel,1 968 cm3,4 150
BMW,Seria 7,2019,4 800 km,Diesel,2 993 cm3,85 668
Peugeot,107,2009,52 014 km,Benzina,996 cm3,3 100
Mercedes-Benz,GLC,2016,165 000 km,Diesel,2 143 cm3,22 950
Volkswagen,Crafter,2010,268 651 km,Diesel,2 496 cm3,8 399
Opel,Astra,2011,215 461 km,Diesel,1 696 cm3,5 299
Audi,Q7,2006,194 400 km,Diesel,2 995 cm3,10 499
Volkswagen,Passat,2018,148 000 km,Diesel,2 000 cm3,19 850
Opel,Astra,2011,219 024 km,Diesel,1 700 cm3,5 499
Mazda,CX-5,2017,52 297 km,Diesel,2 191 cm3,15 999
Dacia,Sandero,2009,210 000 km,Benzina,1 400 cm3,2 599
BMW,X3,2005,266 522 km,Diesel,1 996 cm3,5 599
Opel,Astra,2016,185 000 km,Diesel,1 598 cm3,7 299
Audi,A6,2016,141 746 km,Diesel,1 968 cm3,14 997
Nissan,Qashqai,2015,203 200 km,Diesel,1 500 cm3,10 950
Mercedes-Benz,C,2019,18 000 km,Benzina,1 595 cm3,25 900
Audi,A8,2015,171 200 km,Diesel,4 134 cm3,32 000
Volkswagen,Passat,2014,203 884 km,Diesel,1 968 cm3,10 800
Opel,Insignia,2010,240 000 km,Diesel,1 956 cm3,6 500
Audi,A3,2005,226 000 km,Diesel,1 968 cm3,4 799
Mercedes-Benz,C,2011,170 149 km,Diesel,2 143 cm3,11 950
BMW,X3,2013,238 000 km,Diesel,1 995 cm3,13 450
Volkswagen,Passat,2009,248 636 km,Diesel,1 968 cm3,5 900
Volkswagen,Golf,2011,290 000 km,Diesel,1 968 cm3,7 900
Alfa,Romeo,2008,192 000 km,Diesel,1 900 cm3,3 290
Volkswagen,Passat,2018,118 000 km,Diesel,1 968 cm3,23 998
Volkswagen,Passat,2017,198 947 km,Diesel,1 968 cm3,11 299
Opel,Antara,2014,203 000 km,Diesel,2 231 cm3,6 800
Ford,GRAND,2011,246 000 km,Diesel,1 998 cm3,6 490
Dacia,Duster,2012,206 383 km,Diesel,1 498 cm3,5 750
BMW,Seria 3,2010,230 000 km,Diesel,1 995 cm3,6 200
Ford,C-MAX,2011,183 000 km,Diesel,1 560 cm3,5 290
Mercedes-Benz,A,2019,6 458 km,Benzina,1 332 cm3,29 631
Volkswagen,Tiguan,2016,193 900 km,Diesel,1 968 cm3,13 490
Volkswagen,Golf,2009,180 000 km,Benzina,1 390 cm3,5 599
Dacia,Duster,2011,139 000 km,Benzina,1 600 cm3,7 499
Volkswagen,Passat,2006,130 000 km,Benzina,1 984 cm3,4 999
Volkswagen,Passat,2006,204 000 km,Diesel,1 968 cm3,5 299
Audi,A6,2007,292 000 km,Diesel,2 698 cm3,6 999
Mercedes-Benz,C,2016,39 900 km,Benzina,1 595 cm3,23 500
Mazda,6,2008,199 000 km,Diesel,2 000 cm3,4 499
BMW,Seria 4,2017,37 000 km,Benzina,1 998 cm3,29 000
Nissan,Qashqai,2017,93 621 km,Diesel,1 598 cm3,15 700
Audi,A3,2007,200 000 km,Diesel,1 968 cm3,5 000
Porsche,Macan,2017,80 900 km,Diesel,2 967 cm3,45 700
Infiniti,Q50,2016,117 372 km,Diesel,2 143 cm3,17 289
Mercedes-Benz,E,2018,40 040 km,Diesel,2 987 cm3,43 435
Skoda,Superb,2017,129 000 km,Diesel,1 968 cm3,22 998
Land,Rover,2008,200 000 km,Diesel,2 179 cm3,7 400
Ford,Kuga,2018,79 965 km,Diesel,1 997 cm3,19 299
Volkswagen,Passat,2017,204 148 km,Diesel,1 968 cm3,12 688
Hyundai,i40,2013,90 300 km,Diesel,1 685 cm3,9 290
Dacia,Logan,2016,133 184 km,Diesel,1 461 cm3,5 400
Audi,A6,2018,136 000 km,Diesel,1 968 cm3,22 990
Volkswagen,Jetta,2012,245 000 km,Diesel,1 600 cm3,6 499
Land,Rover,2016,132 000 km,Diesel,1 999 cm3,17 490
Nissan,Qashqai,2009,230 000 km,Diesel,2 000 cm3,6 199
Nissan,Qashqai,2010,220 000 km,Diesel,2 000 cm3,7 499
Ford,Fiesta,2010,152 745 km,Diesel,1 399 cm3,4 399
Volvo,V50,2010,166 386 km,Diesel,1 560 cm3,4 699
Audi,A4,2010,190 000 km,Diesel,2 000 cm3,6 799
Volkswagen,Crafter,2011,257 069 km,Diesel,1 996 cm3,8 999
Mazda,CX-5,2015,89 387 km,Diesel,2 191 cm3,13 450
BMW,Seria 3,2006,220 000 km,Diesel,2 000 cm3,3 999
Toyota,RAV4,2006,300 000 km,Diesel,2 200 cm3,5 199
Audi,A4,2018,173 000 km,Diesel,1 968 cm3,20 190
Opel,Meriva,2011,194 725 km,Diesel,1 686 cm3,4 499
Volkswagen,Passat,2009,159 049 km,Benzina,1 798 cm3,6 999
Audi,A1,2013,153 000 km,Diesel,1 598 cm3,8 499
Nissan,Qashqai,2015,65 510 km,Diesel,1 598 cm3,15 700
Volkswagen,Passat,2006,238 000 km,Diesel,1 968 cm3,4 499
Volkswagen,Passat,2012,239 000 km,Diesel,1 968 cm3,6 999
