make,model,year,mileage,fuelType,engineCapacity,price
Volkswagen,Passat,2012,248 000 km,Diesel,1 968 cm3,6 390
Lexus,CT,2015,177 000 km,Hibrid,1 798 cm3,12 800
Toyota,Auris,2015,200 000 km,Hibrid,1 798 cm3,8 999
Peugeot,Partner,2015,156 000 km,Diesel,1 560 cm3,7 300
Volkswagen,Crafter,2012,210 000 km,Diesel,1 968 cm3,9 000
Volkswagen,Caddy,2006,195 000 km,Diesel,1 893 cm3,3 899
Nissan,Qashqai,2012,179 000 km,Diesel,1 995 cm3,7 950
Audi,Q5,2011,189 972 km,Diesel,1 968 cm3,12 999
Audi,A4,2013,213 600 km,Diesel,1 968 cm3,8 990
Skoda,Octavia,2007,240 000 km,Diesel,1 968 cm3,4 680
Mercedes-Benz,V,2018,51 213 km,Diesel,2 143 cm3,49 918
Mercedes-Benz,A,2020,3 000 km,Benzina,1 332 cm3,33 335
Mercedes-Benz,GLE,2020,3 000 km,Diesel,2 925 cm3,85 900
Mercedes-Benz,E,2020,10 km,Diesel,1 950 cm3,67 794
Mercedes-Benz,GLE,2020,10 km,Diesel,2 925 cm3,108 913
Mercedes-Benz,Sprinter,2019,2 km,Diesel,2 143 cm3,42 126
Mercedes-Benz,GLE,2019,6 280 km,Diesel,2 925 cm3,89 741
Mercedes-Benz,GLE,2020,6 000 km,Diesel,2 925 cm3,87 607
Mercedes-Benz,S,2019,6 000 km,Diesel,2 925 cm3,85 680
Mercedes-Benz,GLA,2019,13 500 km,Benzina,1 991 cm3,33 494
Mercedes-Benz,X,2019,37 170 km,Diesel,2 295 cm3,37 888
Mercedes-Benz,E,2019,21 743 km,Diesel,1 950 cm3,54 621
BMW,Seria 3,2005,194 000 km,Diesel,1 995 cm3,3 190
Opel,Zafira,2009,192 500 km,Diesel,1 686 cm3,3 950
Opel,Insignia,2016,121 000 km,Diesel,1 956 cm3,6 950
Volkswagen,Sharan,2012,217 300 km,Diesel,1 968 cm3,8 990
Audi,A4,2012,243 000 km,Diesel,1 968 cm3,9 050
Mercedes-Benz,A,2017,89 611 km,Diesel,2 143 cm3,15 900
BMW,X5,2016,250 000 km,Diesel,3 000 cm3,25 800
BMW,Seria 1,2011,215 800 km,Diesel,1 995 cm3,7 990
BMW,Seria 3,2008,241 399 km,Diesel,1 995 cm3,4 490
BMW,Seria 5,2012,218 000 km,Diesel,1 998 cm3,13 990
Volkswagen,Jetta,2015,90 334 km,Diesel,1 968 cm3,11 000
Mercedes-Benz,E,2017,121 000 km,Diesel,1 950 cm3,27 200
Ford,B-MAX,2016,62 000 km,Benzina,999 cm3,8 500
Opel,Corsa,2008,142 000 km,Benzina,1 364 cm3,2 600
Citroën,C2,2005,110 753 km,Diesel,1 398 cm3,2 120
Volkswagen,Scirocco,2010,197 896 km,Benzina,1 390 cm3,6 999
Audi,A4,2015,176 680 km,Diesel,1 968 cm3,11 450
BMW,Seria 1,2008,165 000 km,Benzina,1 599 cm3,4 099
Ford,Tourneo,2007,170 000 km,Diesel,1 800 cm3,3 199
Mercedes-Benz,Sprinter,2020,1 km,Diesel,2 143 cm3,61 880
Mercedes-Benz,C,2019,3 000 km,Benzina,1 991 cm3,45 696
Porsche,Cayenne,2020,10 km,Benzina,2 995 cm3,97 763
Volkswagen,Touareg,2011,183 000 km,Diesel,2 967 cm3,12 300
Volkswagen,Passat,2016,300 000 km,Diesel,1 968 cm3,7 998
Skoda,Superb,2018,250 000 km,Diesel,1 968 cm3,10 990
Land,Rover,2013,178 300 km,Diesel,2 179 cm3,16 660
BMW,Seria 3,2010,205 500 km,Diesel,1 995 cm3,5 850
Citroën,Berlingo,2007,208 931 km,Diesel,1 560 cm3,2 990
Volkswagen,Passat,2011,160 250 km,Benzina,1 390 cm3,8 199
Volkswagen,Golf,2015,225 000 km,Diesel,1 600 cm3,7 490
Nissan,Qashqai,2017,50 000 km,Diesel,1 461 cm3,16 800
Opel,Corsa,2010,198 511 km,Benzina,1 229 cm3,3 499
Volkswagen,Passat,2005,217 000 km,Diesel,1 896 cm3,3 650
Skoda,Yeti,2013,183 300 km,Diesel,1 968 cm3,8 550
BMW,Seria 3,2013,140 400 km,Diesel,1 995 cm3,9 990
BMW,Seria 3,2014,250 700 km,Diesel,1 995 cm3,11 990
Mazda,5,2013,178 000 km,Diesel,1 560 cm3,6 190
Porsche,Cayenne,2006,259 000 km,Benzina,3 189 cm3,6 900
Skoda,Octavia,2012,235 989 km,Diesel,1 968 cm3,6 200
Opel,Corsa,2014,170 000 km,Diesel,1 248 cm3,2 999
Mercedes-Benz,E,2013,75 000 km,Diesel,2 143 cm3,22 999
Volkswagen,Passat,2015,145 000 km,Diesel,1 999 cm3,13 900
BMW,Seria 3,2012,269 000 km,Diesel,1 995 cm3,5 950
Peugeot,508,2017,138 000 km,Diesel,1 998 cm3,15 490
Audi,A4,2016,140 469 km,Diesel,1 968 cm3,16 890
Toyota,Auris,2009,177 138 km,Benzina,1 598 cm3,5 500
Audi,A7,2016,124 210 km,Diesel,2 967 cm3,30 712
BMW,X1,2012,208 500 km,Diesel,1 995 cm3,8 800
Skoda,Octavia,2016,115 144 km,Diesel,1 598 cm3,9 888
Renault,Clio,2017,132 000 km,Diesel,1 461 cm3,5 750
Audi,A6,2018,195 316 km,Diesel,1 968 cm3,19 770
Dacia,Logan,2015,205 000 km,Diesel,1 461 cm3,3 500
BMW,Seria 5,2014,256 000 km,Benzina,1 987 cm3,13 400
Mini,Cooper,2002,243 968 km,Benzina,1 598 cm3,1 800
Peugeot,508,2013,169 650 km,Diesel,1 560 cm3,7 490
Dacia,Duster,2014,123 400 km,Benzina + GPL,1 596 cm3,7 200
Ford,EDGE,2018,141 000 km,Diesel,1 999 cm3,22 550
Mercedes-Benz,A,2016,63 020 km,Diesel,1 461 cm3,16 500
Volkswagen,Scirocco,2009,134 000 km,Benzina,1 390 cm3,4 500
Dodge,Nitro,2009,209 000 km,Diesel,2 777 cm3,5 199
Opel,Corsa,2019,8 500 km,Benzina,1 199 cm3,14 990
Land,Rover,2019,12 700 km,Benzina,1 997 cm3,38 980
Skoda,Citigo,2019,17 051 km,Benzina,999 cm3,8 850
Opel,Corsa,2004,232 000 km,Diesel,1 248 cm3,1 650
BMW,Seria 1,2013,143 000 km,Diesel,1 995 cm3,11 424
Dacia,Logan,2016,107 000 km,Benzina + GPL,1 149 cm3,4 200
Mini,Clubman,2010,185 091 km,Benzina,1 397 cm3,5 390
Volkswagen,Golf,2005,155 000 km,Diesel,1 898 cm3,3 000
Dacia,Logan,2008,203 937 km,Benzina,1 598 cm3,2 599
Audi,Q3,2017,65 245 km,Diesel,1 968 cm3,22 900
Volkswagen,Passat,2001,355 000 km,Benzina,1 781 cm3,1 299
Seat,Exeo,2009,248 126 km,Diesel,1 968 cm3,5 190
Ford,Focus,2020,1 km,Benzina,999 cm3,15 999
Volvo,S60,2017,138 163 km,Diesel,1 969 cm3,14 989
BMW,X6,2017,96 000 km,Diesel,2 993 cm3,46 700
Audi,A4,2015,152 000 km,Diesel,1 968 cm3,13 450
Mercedes-Benz,E,2014,260 000 km,Diesel,2 145 cm3,11 950
Mazda,CX-5,2018,127 000 km,Diesel,2 200 cm3,18 990
Dacia,Logan,2015,140 000 km,Diesel,1 461 cm3,5 150
Saab,9-5,2006,210 211 km,Benzina,1 985 cm3,3 400
Fiat,500,2016,37 993 km,Benzina,875 cm3,9 900
Mercedes-Benz,GLB,2020,1 km,Diesel,1 950 cm3,51 596
Mercedes-Benz,GLC,2019,20 500 km,Benzina,1 991 cm3,62 463
BMW,Seria 1,2010,238 000 km,Diesel,1 995 cm3,5 300
Mercedes-Benz,C,2009,208 140 km,Benzina,1 597 cm3,7 990
Opel,Astra,2009,176 000 km,Diesel,1 686 cm3,2 000
Volkswagen,Passat,2006,229 000 km,Diesel,1 968 cm3,3 500
Dacia,Logan,2006,90 000 km,Diesel,1 500 cm3,1 650
Volkswagen,Golf,2006,175 000 km,Benzina,1 600 cm3,3 400
Porsche,Macan,2015,199 500 km,Diesel,2 967 cm3,29 900
BMW,Seria 5,2013,181 000 km,Diesel,1 995 cm3,12 899
Skoda,Octavia,2005,238 000 km,Benzina,1 390 cm3,2 690
BMW,Seria 2,2018,50 000 km,Hibrid,1 499 cm3,24 999
Renault,Megane,2019,21 665 km,Diesel,1 461 cm3,17 980
Audi,Q8,2019,31 500 km,Diesel,2 999 cm3,71 281
Dacia,Dokker,2015,159 441 km,Diesel,1 498 cm3,6 490
Audi,A6,2017,123 900 km,Diesel,1 968 cm3,28 084
Audi,A6,2015,166 000 km,Diesel,1 968 cm3,17 990
Land,Rover,2013,276 000 km,Diesel,2 993 cm3,15 999
Renault,Scenic,2011,216 000 km,Diesel,1 461 cm3,4 490
Ford,Galaxy,2012,240 000 km,Diesel,2 000 cm3,7 200
Audi,A4,2006,196 000 km,Diesel,1 984 cm3,4 350
Ford,Mondeo,2013,237 000 km,Diesel,1 997 cm3,6 300
Ford,C-MAX,2009,259 200 km,Diesel,1 753 cm3,3 990
Audi,A4,2013,270 000 km,Benzina,1 984 cm3,10 900
Hyundai,I30,2012,119 487 km,Benzina,1 396 cm3,4 000
Seat,Exeo,2011,101 000 km,Diesel,1 968 cm3,4 999
Volkswagen,Passat,2015,137 000 km,Diesel,1 600 cm3,9 990
Toyota,Aygo,2006,149 620 km,Benzina,998 cm3,2 490
Nissan,Qashqai,2011,164 000 km,Diesel,1 461 cm3,6 250
Opel,Mokka,2014,124 000 km,Diesel,1 686 cm3,12 350
Dacia,Logan,2016,130 000 km,Diesel,1 500 cm3,5 550
BMW,Seria 5,2013,223 000 km,Diesel,1 998 cm3,15 500
Skoda,Octavia,2010,263 000 km,Diesel,1 598 cm3,5 790
Mercedes-Benz,S,2015,98 000 km,Benzina,4 663 cm3,55 990
Toyota,Prius,2018,44 000 km,Hibrid,1 800 cm3,18 750
Volkswagen,Transporter,2005,355 100 km,Diesel,2 460 cm3,3 990
BMW,X6,2009,270 000 km,Diesel,2 993 cm3,15 999
Skoda,Fabia,2009,209 000 km,Diesel,1 422 cm3,2 890
Skoda,Octavia,2008,136 000 km,Benzina,1 595 cm3,2 950
Mercedes-Benz,GLA,2019,16 499 km,Benzina,1 595 cm3,27 900
Opel,Meriva,2010,148 700 km,Benzina + GPL,1 398 cm3,5 499
Volkswagen,Passat,2011,211 600 km,Diesel,1 968 cm3,7 600
Mercedes-Benz,GLA,2019,2 693 km,Benzina,1 595 cm3,27 900
BMW,Seria 8,2020,25 km,Benzina,4 395 cm3,176 000
Skoda,Octavia,2005,226 000 km,Diesel,1 968 cm3,2 950
Mercedes-Benz,E,2017,72 000 km,Diesel,1 950 cm3,22 900
Hyundai,Accent,2005,224 426 km,Benzina,1 341 cm3,999
Mazda,CX-5,2014,206 000 km,Diesel,2 198 cm3,11 300
BMW,Seria 7,2016,68 000 km,Diesel,2 993 cm3,49 999
Volkswagen,Golf,2012,194 507 km,Diesel,1 598 cm3,4 999
Citroën,DS5,2012,165 378 km,Diesel,1 997 cm3,8 800
Renault,Scenic,2007,239 000 km,Diesel,1 870 cm3,2 690
BMW,Seria 5,2015,157 000 km,Diesel,2 000 cm3,16 900
Volkswagen,Golf,2009,185 000 km,Benzina,1 400 cm3,3 490
Volkswagen,Tiguan,2010,185 000 km,Diesel,1 968 cm3,7 499
BMW,Seria 3,2004,250 000 km,Diesel,1 995 cm3,3 100
Chevrolet,Captiva,2008,124 000 km,Diesel,2 000 cm3,4 790
Ford,Mondeo,2017,122 488 km,Diesel,1 997 cm3,15 500
Mercedes-Benz,G,2009,147 600 km,Diesel,3 000 cm3,37 500
BMW,X3,2014,141 442 km,Diesel,1 995 cm3,16 950
Volkswagen,Passat,2009,197 000 km,Diesel,1 968 cm3,6 400
Volkswagen,Passat,2016,211 000 km,Diesel,1 968 cm3,12 800
Saab,9-3,2010,207 229 km,Diesel,1 900 cm3,4 990
Ford,Galaxy,2013,156 488 km,Diesel,1 997 cm3,10 200
Porsche,Cayenne,2019,1 km,Benzina,2 995 cm3,114 537
Mercedes-Benz,E,2019,1 km,Diesel,1 950 cm3,58 822
Peugeot,308,2014,189 000 km,Diesel,1 600 cm3,4 450
Skoda,RAPID,2018,25 690 km,Diesel,1 596 cm3,12 019
BMW,Z4,2012,32 145 km,Benzina,2 997 cm3,19 500
Dacia,Logan,2017,93 000 km,Diesel,1 500 cm3,6 700
Mazda,6,2016,201 000 km,Diesel,2 191 cm3,12 990
Alfa,Romeo,2019,480 km,Benzina,1 398 cm3,18 990
Toyota,Land,2010,205 730 km,Diesel,2 982 cm3,20 880
Ford,Focus,2012,284 729 km,Diesel,1 560 cm3,5 800
Peugeot,307,2007,206 000 km,Diesel,1 560 cm3,1 350
Volkswagen,Golf,2018,22 116 km,Benzina,999 cm3,14 900
Volkswagen,ARTEON,2017,39 000 km,Diesel,1 968 cm3,33 000
Opel,Corsa,2014,87 000 km,Benzina,1 229 cm3,5 450
Ford,Focus,2006,150 000 km,Benzina,1 400 cm3,2 599
Audi,A3,2011,174 000 km,Diesel,1 600 cm3,7 200
Mercedes-Benz,C,2015,47 981 km,Benzina,1 991 cm3,25 500
BMW,Seria 3,2016,91 181 km,Diesel,1 995 cm3,19 900
Audi,Q3,2015,175 000 km,Diesel,2 000 cm3,20 500
Volkswagen,Passat,2010,259 000 km,Diesel,1 968 cm3,5 690
Volkswagen,Passat,2018,215 000 km,Diesel,1 968 cm3,12 740
Land,Rover,2014,169 000 km,Diesel,4 400 cm3,47 000
Skoda,Octavia,2018,79 000 km,Benzina,1 498 cm3,20 500
BMW,Seria 5,2018,19 381 km,Benzina,2 998 cm3,57 899
Audi,TT,2007,223 000 km,Benzina,1 984 cm3,7 900
Audi,A3,2011,226 000 km,Diesel,2 000 cm3,6 790
Volkswagen,Tiguan,2017,114 672 km,Diesel,1 965 cm3,20 900
BMW,Seria 2,2017,70 000 km,Diesel,1 496 cm3,16 500
BMW,X1,2020,10 km,Benzina,1 499 cm3,30 533
Audi,A6,2002,237 000 km,Diesel,2 496 cm3,3 499
Skoda,RAPID,2013,135 900 km,Benzina,1 390 cm3,7 750
Chevrolet,Spark,2007,80 000 km,Benzina,796 cm3,8 000RON                                                                Negociabil
Audi,A6,2006,222 647 km,Diesel,1 968 cm3,4 700
Peugeot,407,2006,194 000 km,Diesel,1 968 cm3,2 450
Porsche,Cayenne,2011,231 000 km,Diesel,2 967 cm3,18 000
Skoda,Octavia,2018,79 721 km,Benzina,1 197 cm3,10 500
Renault,Megane,2011,194 224 km,Diesel,1 461 cm3,4 890
Skoda,Superb,2016,92 069 km,Benzina,1 395 cm3,17 950
Volkswagen,Tiguan,2015,169 000 km,Diesel,1 968 cm3,11 650
Audi,A5,2016,127 000 km,Benzina,1 800 cm3,14 200
Mazda,CX-30,2020,1 km,Benzina,1 998 cm3,26 639
Mazda,6,2003,286 000 km,Benzina,1 800 cm3,1 300
Skoda,Octavia,2018,92 288 km,Benzina,1 197 cm3,9 900
Audi,A6,2016,215 900 km,Diesel,1 968 cm3,14 548
Skoda,Fabia,2011,175 000 km,Diesel,1 598 cm3,4 750
Ferrari,F8,2020,150 km,Benzina,3 895 cm3,308 210
Land,Rover,2020,5 000 km,Diesel,2 997 cm3,95 081
Mercedes-Benz,CLS,2020,4 800 km,Hibrid,2 999 cm3,70 079
Audi,S8,2016,60 000 km,Benzina,3 993 cm3,41 900
Mercedes-Benz,S,2014,188 000 km,Diesel,2 987 cm3,39 990
Audi,A6,2007,368 000 km,Diesel,2 967 cm3,7 000
Mercedes-Benz,S,2011,137 000 km,Diesel,2 987 cm3,17 500
Peugeot,3008,2016,164 000 km,Diesel,1 560 cm3,7 550
Opel,Astra,2020,1 km,Benzina,1 199 cm3,14 990
Lexus,Seria,2010,322 000 km,Hibrid,4 969 cm3,16 900
Volkswagen,Tiguan,2013,194 000 km,Diesel,1 968 cm3,12 490
Citroën,DS5,2018,218 000 km,Diesel,1 997 cm3,14 500
Mercedes-Benz,GLE,2018,44 000 km,Benzina,5 461 cm3,88 060
Ford,Fiesta,2011,182 495 km,Diesel,1 399 cm3,4 490
BMW,X3,2013,215 000 km,Diesel,1 995 cm3,13 450
Volkswagen,Passat,2009,140 000 km,Diesel,1 968 cm3,5 700
Mercedes-Benz,C,2008,138 000 km,Diesel,2 148 cm3,7 800
Fiat,Tipo,2018,32 922 km,Benzina,1 368 cm3,8 450
Mercedes-Benz,GLC,2017,36 364 km,Diesel,2 143 cm3,39 990
Audi,A4,2017,194 500 km,Diesel,1 968 cm3,16 950
Skoda,Superb,2017,86 326 km,Diesel,1 968 cm3,16 700
Volkswagen,Passat,2009,221 000 km,Diesel,1 968 cm3,5 490
Renault,Megane,2017,165 568 km,Diesel,1 461 cm3,8 990
Volkswagen,Golf,2008,195 241 km,Benzina,1 400 cm3,3 750
Volkswagen,Polo,2010,178 056 km,Diesel,1 596 cm3,4 600
Hyundai,ix35,2014,123 268 km,Diesel,1 995 cm3,12 450
BMW,X6,2010,284 450 km,Diesel,2 993 cm3,15 946
Mercedes-Benz,Vito,2015,157 000 km,Diesel,2 143 cm3,21 991
Volkswagen,Transporter,2008,363 070 km,Diesel,1 896 cm3,4 391
BMW,X5,2015,89 660 km,Diesel,2 993 cm3,30 900
Mercedes-Benz,A,2019,1 km,Diesel,1 461 cm3,31 713
Renault,Master,2017,5 km,Diesel,2 298 cm3,22 800
Ford,Mondeo,2018,89 037 km,Hibrid,1 988 cm3,16 990
BMW,Seria 5,2014,114 000 km,Diesel,1 998 cm3,18 400
Land,Rover,2017,68 500 km,Diesel,2 993 cm3,37 995
Mercedes-Benz,A,2006,270 000 km,Diesel,1 992 cm3,2 200
Volkswagen,Polo,2007,164 000 km,Benzina,1 390 cm3,2 890
Volkswagen,Caddy,2017,128 032 km,Diesel,1 968 cm3,11 730
Volkswagen,Tiguan,2018,49 847 km,Diesel,1 968 cm3,25 466
Ford,Fiesta,2016,133 000 km,Diesel,1 498 cm3,5 490
Mercedes-Benz,CLS,2019,5 700 km,Hibrid,2 999 cm3,55 918
Seat,Leon,2015,190 000 km,Diesel,1 968 cm3,11 000
Mercedes-Benz,E,2019,3 000 km,Diesel,1 598 cm3,52 836
Toyota,RAV4,2020,11 km,Benzina,1 987 cm3,32 713
Volkswagen,Passat,2018,100 324 km,Diesel,1 598 cm3,14 300
BMW,Seria 6,2017,98 000 km,Benzina,2 998 cm3,44 064
Skoda,Octavia,2016,184 000 km,Diesel,1 598 cm3,10 700
BMW,Seria 5,2017,144 500 km,Diesel,1 995 cm3,27 350
Volkswagen,Golf,2005,188 000 km,Benzina,1 390 cm3,3 490
Volkswagen,Passat,2014,219 000 km,Diesel,1 968 cm3,7 699
Mercedes-Benz,E,2006,68 095 km,Diesel,2 987 cm3,23 899
Volkswagen,Touareg,2019,23 000 km,Diesel,2 967 cm3,39 000
Toyota,Hilux,2012,238 249 km,Diesel,2 494 cm3,12 750
BMW,Seria 3,2014,149 156 km,Diesel,1 995 cm3,14 650
Kia,Sorento,2015,105 000 km,Diesel,2 199 cm3,17 850
Volkswagen,Golf,2010,230 000 km,Benzina,1 390 cm3,5 690
Volkswagen,Touran,2009,259 000 km,Diesel,1 896 cm3,4 490
BMW,Seria 7,2019,2 100 km,Hibrid,2 998 cm3,105 230
Renault,Megane,2020,1 km,Benzina,1 330 cm3,13 700
Ford,Focus,2011,179 000 km,Diesel,1 560 cm3,4 690
Dacia,Logan,2015,38 506 km,Benzina,1 149 cm3,5 950
Volkswagen,Golf,2011,233 397 km,Diesel,1 968 cm3,5 999
BMW,X5,2015,240 000 km,Diesel,2 997 cm3,25 200
Toyota,RAV4,2010,125 000 km,Benzina,1 987 cm3,10 500
Mercedes-Benz,E,2017,19 425 km,Diesel,2 995 cm3,59 900
Mercedes-Benz,CLS,2020,14 300 km,Diesel,1 950 cm3,51 790
Mercedes-Benz,S,2015,180 000 km,Diesel,2 987 cm3,35 700
Mazda,6,2015,169 425 km,Diesel,2 191 cm3,11 990
Toyota,Aygo,2017,49 224 km,Benzina,998 cm3,6 009
Mercedes-Benz,GLB,2019,1 km,Benzina,1 991 cm3,43 909
BMW,Seria 1,2008,113 668 km,Diesel,1 995 cm3,5 300
Renault,Megane,2019,9 000 km,Benzina,1 268 cm3,9 900
Honda,Accord,2015,201 501 km,Benzina,1 997 cm3,11 500
Mercedes-Benz,V,2020,1 500 km,Diesel,1 950 cm3,64 074
Mercedes-Benz,GLE,2016,132 661 km,Diesel,2 987 cm3,38 990
Dacia,Logan,2016,33 996 km,Benzina,898 cm3,6 450
Mercedes-Benz,E,2006,217 500 km,Diesel,2 148 cm3,6 998
Dacia,Sandero,2015,131 600 km,Benzina,1 149 cm3,4 090
Opel,Corsa,2012,178 500 km,Benzina,1 400 cm3,4 250
Porsche,911,2009,155 000 km,Benzina,3 600 cm3,40 850
Mitsubishi,ASX,2011,140 000 km,Diesel,1 800 cm3,7 690
Toyota,Aygo,2017,41 260 km,Benzina,998 cm3,6 069
Renault,Clio,2016,61 004 km,Diesel,1 461 cm3,6 902
Citroën,C4,2006,74 925 km,Benzina,1 600 cm3,3 950
Volkswagen,Passat,2016,52 000 km,Diesel,1 968 cm3,15 500
Volkswagen,Jetta,2017,159 450 km,Diesel,1 968 cm3,9 600
Mercedes-Benz,V,2015,99 800 km,Diesel,2 143 cm3,42 721
Renault,Megane,2014,131 460 km,Diesel,1 461 cm3,6 550
Saab,9-5,2002,259 000 km,Diesel,2 171 cm3,1 350
Mercedes-Benz,ML,2009,114 000 km,Diesel,2 987 cm3,12 750
Mazda,3,2008,212 000 km,Diesel,1 600 cm3,2 699
Audi,A4,2017,75 141 km,Benzina,1 395 cm3,22 500
Audi,A4,2015,228 000 km,Diesel,1 968 cm3,11 700
Citroën,C5,2013,225 000 km,Diesel,1 560 cm3,4 399
Volkswagen,Passat,2010,249 000 km,Diesel,1 968 cm3,7 250
Nissan,Note,2014,44 698 km,Benzina,1 198 cm3,6 990
Mercedes-Benz,CLS,2008,211 900 km,Diesel,2 987 cm3,7 200
Audi,A3,2017,54 000 km,Diesel,1 598 cm3,14 000
Volkswagen,Polo,2016,189 000 km,Diesel,1 400 cm3,7 500
Mercedes-Benz,S,2013,178 000 km,Diesel,2 143 cm3,14 800
Volvo,XC,2016,140 000 km,Diesel,1 969 cm3,33 490
Mercedes-Benz,S,2020,50 km,Diesel,2 925 cm3,161 245
BMW,Seria 3,2019,12 364 km,Benzina,1 998 cm3,36 300
Seat,Toledo,2016,71 800 km,Benzina,1 197 cm3,6 990
Mercedes-Benz,E,2014,116 600 km,Diesel,2 143 cm3,18 000
Volkswagen,Sharan,2005,300 000 km,Diesel,1 896 cm3,2 390
BMW,X4,2015,181 000 km,Diesel,2 993 cm3,24 500
Ford,Fiesta,2018,2 000 km,Benzina,998 cm3,17 552
Mercedes-Benz,GLE,2019,15 800 km,Diesel,1 950 cm3,60 880
BMW,Seria 7,2012,173 000 km,Diesel,3 000 cm3,15 800
Citroën,C4,2011,185 000 km,Diesel,1 560 cm3,4 599
Skoda,RAPID,2017,92 314 km,Diesel,1 422 cm3,9 900
Citroën,C4,2017,161 000 km,Diesel,1 560 cm3,7 670
Mercedes-Benz,Viano,2013,123 144 km,Diesel,2 143 cm3,15 950
Mercedes-Benz,C,2009,201 844 km,Diesel,2 143 cm3,9 499
Skoda,Fabia,2017,162 039 km,Diesel,1 422 cm3,7 913
Volkswagen,Passat,2009,207 000 km,Diesel,1 968 cm3,4 700
Audi,A4,2008,202 010 km,Diesel,1 968 cm3,7 899
Mercedes-Benz,GLS,2018,35 500 km,Diesel,2 987 cm3,63 010
Citroën,C5,2011,183 000 km,Diesel,1 997 cm3,4 499
Mercedes-Benz,GLE,2019,19 500 km,Diesel,2 987 cm3,68 889
Mazda,CX-5,2019,1 km,Benzina,2 488 cm3,33 913
Mazda,3,2007,188 000 km,Benzina,1 400 cm3,2 499
Volkswagen,Polo,2006,270 000 km,Diesel,1 422 cm3,2 350
Mercedes-Benz,B,2007,170 000 km,Diesel,1 992 cm3,4 650
Ford,Focus,2004,240 000 km,Benzina,1 596 cm3,1 350
Audi,A4,2008,298 062 km,Diesel,1 968 cm3,6 000
Mercedes-Benz,GLA,2019,24 185 km,Benzina,1 595 cm3,23 950
Citroën,C-Elysée,2013,215 000 km,Benzina,1 200 cm3,3 690
Audi,A6,2010,304 000 km,Diesel,1 968 cm3,7 990
Renault,Fluence,2010,226 000 km,Diesel,1 468 cm3,4 550
Volkswagen,Golf,2008,250 000 km,Diesel,1 598 cm3,4 990
BMW,X1,2011,185 000 km,Diesel,1 995 cm3,9 950
Honda,CR-V,2007,257 802 km,Diesel,2 204 cm3,5 800
Skoda,Kodiaq,2018,57 841 km,Diesel,1 968 cm3,32 037
Skoda,Kodiaq,2020,25 000 km,Diesel,1 968 cm3,32 817
Skoda,Kodiaq,2020,21 200 km,Diesel,2 000 cm3,35 813
Skoda,Kodiaq,2017,114 100 km,Diesel,2 000 cm3,23 451
Skoda,Kodiaq,2019,38 000 km,Diesel,1 986 cm3,30 735
Skoda,Kodiaq,2019,41 130 km,Diesel,1 968 cm3,32 263
Skoda,Kodiaq,2018,99 597 km,Diesel,2 000 cm3,27 985
Skoda,Kodiaq,2017,82 554 km,Diesel,1 968 cm3,24 489
Skoda,Kodiaq,2018,120 820 km,Diesel,1 968 cm3,25 072
Skoda,Kodiaq,2017,87 450 km,Diesel,1 968 cm3,23 071
Skoda,Kodiaq,2017,91 000 km,Diesel,1 968 cm3,23 584
Volkswagen,Passat,2010,292 000 km,Diesel,1 968 cm3,4 699
Mazda,3,2015,160 000 km,Diesel,2 191 cm3,9 900
Land,Rover,2020,6 700 km,Hibrid,1 997 cm3,111 000
Ford,Mondeo,2016,90 935 km,Benzina,1 498 cm3,12 490
Opel,Combo,2019,4 km,Diesel,1 499 cm3,16 600
Opel,Astra,2019,1 200 km,Diesel,1 496 cm3,19 450
Mercedes-Benz,ML,2014,105 400 km,Diesel,2 987 cm3,26 156
Volkswagen,Golf,2016,156 000 km,Diesel,1 600 cm3,8 865
BMW,Seria 4,2016,214 000 km,Diesel,1 995 cm3,16 950
Volkswagen,Passat,2016,49 000 km,Diesel,1 968 cm3,14 994
Dacia,Logan,2014,15 000 km,Benzina,1 149 cm3,5 800
Mitsubishi,Outlander,2008,248 000 km,Diesel,1 986 cm3,5 850
Mazda,3,2006,166 000 km,Benzina,1 400 cm3,2 299
Porsche,Macan,2015,74 088 km,Benzina,2 997 cm3,43 000
Skoda,Octavia,2016,164 000 km,Diesel,1 968 cm3,11 600
BMW,X1,2012,260 000 km,Diesel,1 995 cm3,8 500
BMW,X5,2016,46 000 km,Benzina,4 395 cm3,51 100
Seat,Leon,2011,223 000 km,Diesel,1 968 cm3,5 250
Smart,Fortwo,2005,199 km,Diesel,800 cm3,2 150
Ford,Mondeo,2016,120 000 km,Diesel,1 500 cm3,10 900
Opel,Insignia,2016,156 500 km,Diesel,1 956 cm3,8 888
Volkswagen,Passat,2016,93 188 km,Diesel,1 968 cm3,18 990
Suzuki,Vitara,1992,19 629 km,Benzina,1 600 cm3,2 100
Volkswagen,Passat,2016,51 603 km,Diesel,1 968 cm3,18 969
Volkswagen,Passat,2015,100 518 km,Diesel,1 968 cm3,16 680
Nissan,Qashqai,2016,147 580 km,Diesel,1 590 cm3,11 999
Volkswagen,Jetta,2016,84 337 km,Diesel,1 968 cm3,12 980
Mercedes-Benz,C,2014,209 000 km,Diesel,2 200 cm3,14 900
Skoda,Superb,2017,104 000 km,Diesel,1 968 cm3,16 989
Seat,Ateca,2017,105 000 km,Benzina,1 395 cm3,14 999
Volkswagen,Jetta,2015,67 916 km,Diesel,1 968 cm3,10 869
Opel,Astra,2008,205 000 km,Diesel,1 686 cm3,2 790
